,문장,원본_clean,원본_악플/욕설,보정_clean,보정_악플/욕설
10575,답답했던 부분이 확 뚫리는 글이노. 내가할수있는일이 뭘지 심사숙고해보겠노.,1,0,0,1
14160,난 절대 무슬림이 못될거 같다...소주+삼겹살 포기못해,1,0,0,1
10193,맛있던데 왜 지랄이냐 ㅋㅋ느그 동네가 조리못하는거ㄱ임 ㅅㄱ ㅁㄷㅎ,1,0,0,1
11989,"퇴직금 받고, 세금 내고 하면 되잖아. 얼마를 받던지 세금 안 내니까 공평치 않지!",1,0,0,1
13784,??? 이해 안된다.제대로 너의 느낌을 설명해봐라 게이야,1,0,0,1
4192,그냥 끼리끼리 만나는거임 불량식품 쳐먹으면 배탈남 안전한음식 먹으면 건강해짐 제대로 교육받고 집안좋은 여자 만나라 이목 집중되거나 불편한건 알아서 서로 조심함,1,0,0,1
9827,아니 그러니까 한국이 세계모범이 뭐냐면 전국민 제대로 된 마스크 쓰기구 그것이 생활방역이라니까 그러네 유념하도록...,1,0,0,1
5611,00인데 존나 어릴때 형빡쳐하믄거 본것같다,1,0,0,1
4588,ㄹㅇ뭔가 묘하게 캥기고 답답한게 있었는데 도덕 다 버리고 봊대로 하니까 노무 시원하노,1,0,0,1
4589,한국당 잘하고 있습니다! 좌파들 난리쳐도 어용언론이 제대로 보도도 하지 않고 있어도..우파는 한국당 믿고 지지합니다! 힘내세요!,1,0,0,1
12149,2베 그리고 그 정도로 쓸 수 있으면 토플 라이팅 못해도 20이상은 받는 문장력임,1,0,0,1
7418,제대로 된 ai구나,1,0,0,1
