문장	여성/가족	남성	성소수자	인종/국적	연령	지역	종교	기타 혐오	악플/욕설	clean	개인지칭
보지들은 딱히 저런 거에 대해 자존심 같은 걸 안 느끼지 않나	1	0	0	0	0	0	0	0	0	0	0
전라도피는 물보다 진하다	0	0	0	0	0	1	0	0	0	0	0
솔직히 패 죽일 수 있다 정당방위 상황에서 어디를 어떻게 쳐서 병신 만들지 시뮬레이션 많이 해보노	0	0	0	0	0	0	0	0	1	0	0
존나 무섭네	0	0	0	0	0	0	0	0	0	1	0
지금 이미 난리남	0	0	0	0	0	0	0	0	0	1	0
소고기 짬뽕 존나먹어보고싶다	0	0	0	0	0	0	0	0	0	1	0
민아 귀엽네	0	0	0	0	0	0	0	0	0	1	0
보지는 돈 벌어서 좋고꼬추는 섹스해서 좋고서로 윈윈인데 이게 왜 불법이냐	0	0	0	0	0	0	0	0	1	0	0
로봉순 젠신병자니까 맘껏패라 사람아님	0	0	1	0	0	0	0	1	0	0	0
이상준 황비홍댓냐	0	0	0	0	0	0	0	0	0	1	0
똥고에 들어갔던 꼬치 먹고싶은사람이 없어서 그렇지않겠노	0	0	1	0	0	0	0	0	0	0	0
막내가 예뻣으면 이런일 없다예쁜 여자는 저런데 한눈팔릴 틈조차 없음	1	0	0	0	0	0	0	0	0	0	0
그림체는 귀엽긴하지만 현실은 그렇치않아	0	0	0	0	0	0	0	0	0	1	0
저런것들은 설명해줘도 모른다	0	0	0	0	0	0	0	0	0	1	0
후팔 가사가 저게뭐노	0	0	0	0	0	0	0	0	1	0	0
보석 같아서 아껴서 꽁꽁깜춘다는데 여자가 돌맹이냐 사람이지 보석이면 더 보여주면서 자랑하고 싶지 않냐 왜 눈만 보여줘	0	0	0	0	0	0	0	0	1	0	0
이새끼 똥꼬충인거같은데 똥꼬충새끼들이 양성애자들 존나 고깝게 보더라글제목부터가 성소수자 라고 대우해주는게 이새끼 똥꼬충으로 추정된다	0	0	1	0	0	0	0	0	0	0	0
기도가 뭐 그렇게 대단하다고	0	0	0	0	0	0	0	0	0	1	0
과학이고 증거고 뭐고 다 팔아먹었구만	0	0	0	0	0	0	0	0	1	0	0
백인은 애를 안낳으니 기독교가 줄은거고 이슬람은 애를 많이 낳고 불법이민 존나가니 늘어나고	0	0	0	1	0	0	0	0	0	0	0
아니 시벌 터키 그나마 보수적 마인드 때문에 좋아했는데 동성애자들이 저정도로 날뛰는거면 답없네	0	0	1	0	0	0	0	0	0	0	0
대구븅신들	0	0	0	0	0	1	0	0	0	0	0
여대를 없애라 여대가 왜 있는지 이해가 안감	0	0	0	0	0	0	0	0	0	1	0
조선족 개새끼들 백린탄으로 멸해야한다	0	0	0	1	0	0	0	0	0	0	0
다문화는 그종족의 문화를 존중하고 지속시키며 같이 행복하게 사는건대 이나라는 걍 짬뽕이네 시부랄거	0	0	0	1	0	0	0	0	0	0	0
급식체 분탕으로 처리하고 벤하면 안되나	0	0	0	0	1	0	0	0	0	0	0
똥꼬충을 권유하는 시대까지오노	0	0	1	0	0	0	0	0	0	0	0
난 homosexual을 지지하는 heterosexual인데 솔직히 저들의 way to express는 좀 seriously 문제가 있다고 생각한다	0	0	1	0	0	0	0	0	0	0	0
일단 후장은 뚫어라 고분해진다이기	0	0	0	0	0	0	0	0	1	0	0
에이즈의 주범이 똥꼬충인거 이미 통계로 확인 되었음	0	0	1	0	0	0	0	0	0	0	0
사전 오프모임은 할 필요도 없고	0	0	0	0	0	0	0	0	0	1	0
후팔 1호선이노	0	0	0	0	0	0	0	0	1	0	0
장미칼 미만잡	0	0	0	0	0	0	0	0	0	1	0
단속안하나 이씨발	0	0	0	0	0	0	0	0	1	0	0
전라도세끼들은 딱봐도 뭔가 혐오감있게 생김 유전자가 다른 종족인건 확실함	0	0	0	0	0	1	0	0	0	0	0
인천은 진짜 수도권인데 제일 싼듯 요즘 안산부천 이딴 쓰레기동네 다오르는데 인천은 방어하는듯	0	0	0	0	0	1	0	0	0	0	0
경상도친구장점내가 존나 지적하고 꼽주고해도 다들어줌	0	0	0	0	0	1	0	0	0	0	0
어디가서 지가 다리짤라놓고 상해 당했으니 참전 용사해달라는 꼴과 뭐가 틀린가 군대가 개인적인 일탈까지 법 어겨가며 지켜야되냐 잘했다 국방부	0	0	0	0	0	0	0	0	1	0	0
우리가 납치했나왜 가고 싶어 할 사람이 있을 거라는 생각을 하냐가고 싶으면 중국으로 가서 넘어 갈수 있다 이년아아구창 강냉이 다 털리게 패고 싶네	0	0	0	0	0	0	0	0	1	0	0
나 같으면 벌떡 일어서서 펄펄 끊는 된장찌개 애새끼 머리에 부어버리고 애미년 얼굴 칼로 난도질 존나 했다	0	0	0	0	0	0	0	0	1	0	0
글좀 잘써라	0	0	0	0	0	0	0	0	1	0	0
조선족이 짱개인데 둘을 구분할필요가 없음즉 여기엔 짱개들이 졸라많음주기적으로 시간단위로 짱개 까는글이 올라올 필요가 잇단소리임	0	0	0	1	0	0	0	0	0	0	0
한남충 이새끼들은 그냥 좆질할려고 사는것 같다이기	0	1	0	0	0	0	0	0	0	0	0
이런 씨발 딱 이거랑 똑같은 스토리의 야동이나 망가 야애니 추천받는다 씨발 빨리 고추섯다	0	0	0	0	0	0	0	0	1	0	0
대구게이는 일베 글쓰지 마라 IP타고 우한폐렴 전파된다	0	0	0	1	0	1	0	0	0	0	0
이쯤에서 팩트체킹	0	0	0	0	0	0	0	0	0	1	0
꼭 저런거 버리는 년들 보면 뚱뚱한 맘충이더라 돈까스 시켜먹는데 적게나왔다고 따질년들	1	0	0	0	0	0	0	0	0	0	0
산소 아까우니 빨리 뛰어내려라	0	0	0	0	0	0	0	0	1	0	0
집사님들도 한 덩치 함워마드 돼지년들한테 안꿀림	1	0	0	0	0	0	0	1	0	0	0
더러운 똥꺼충 새끼들 아가리에 갈좆 물고 후장엔 철근빵해서 뒈져라	0	0	1	0	0	0	0	0	0	0	0
중국 살면 심심하지는 않겠다	0	0	0	0	0	0	0	0	0	1	0
구상권 무조권 청구	0	0	0	0	0	0	0	0	0	1	0
아직도 처 놀러가는거 보면 속에 천불이난다	0	0	0	0	0	0	0	0	0	1	0
적당히 지 혼자 코르셋조여도 이미지 메이킹 충분히 가능한걸 욕심내서 자꾸 한국여자 걸고 넘어져서 비호감	0	0	0	0	0	0	0	0	1	0	0
안이 저렇게 나오면 문은 똥꼬충을 오히려 다음번 총선 비례대표로 만들지 베충이들이 원하는 반동성애 정책은 절대 내놓지 않음	0	0	1	0	0	0	0	0	0	0	0
물리학자 장애인이 3명이나 되네	0	0	0	0	0	0	0	0	0	1	0
나이 한 50 먹어서 자식들이랑 보면 개꿀이겠네	0	0	0	0	0	0	0	0	0	1	0
그럼에도 일베에서 틀딱드립이나 하며 여론조작허고 있는 조선족새끼가 역대 가장 최악이지	0	0	0	1	0	0	0	0	0	0	0
이래서 남경 뽑으면 안돼	0	1	0	0	0	0	0	0	0	0	0
서현 응원하노	0	0	0	0	0	0	0	0	0	1	0
병신들 많노 자지가 꼴릴때는 편의점가서 박카스 한병 사들고 동네 어슬렁거리면 박카스아줌마가 딱 보고 눈치까고 함 대줌 대신에 박카스 상납해야됨	1	0	0	0	0	0	0	0	0	0	0
시팔새끼들이 말하는 뽄새보이 밥빌어 쳐묵겄다 정권바뀌니 저거세상인줄 아네	0	0	0	0	0	0	0	0	1	0	0
깨닫는거지 공부하는게 아니노	0	0	0	0	0	0	0	0	0	1	0
코로나19 팬데믹 황폐화된 세상을 예수그리스도의 생명의 복음으로 녹색화하자	0	0	0	0	0	0	0	0	0	1	0
순수한 풀스윙	0	0	0	0	0	0	0	0	0	1	0
남유럽 중유럽 동유럽 다 난민 받아주는데죽자고 서유럽으로만 가는거 보면 도둑놈 새끼들임	0	0	0	1	0	0	0	0	0	0	0
게이도 좆같고 레즈도 좆같고 동성애 씨발년놈들은 옛날처럼 아우슈비츠 가스실에 싸그리 모아놓고 독가스 살포해서애미애비 보는앞에서 고통스럽고 잔인하게 죽여야된다	0	0	1	0	0	0	0	0	0	0	0
무조건 이해하라고 하는것도 폭력이지	0	0	0	0	0	0	0	0	0	1	0
노친네들 잡아죽이는게애국	0	0	0	0	1	0	0	0	0	0	0
다문화걱정하지마 kkk단결성해서 쓸어버리면되	0	0	0	1	0	0	0	0	0	0	0
라도도 쌍도를 부라워함	0	0	0	0	0	1	0	0	0	0	0
우린 전라도 있어서 튀기새끼들한테 질 일 없다	0	0	0	0	0	1	0	0	0	0	0
게이나치 새끼들	0	0	1	0	0	0	0	0	0	0	0
려자가 례쁘게 안 꾸미고 지한테 잘 보일 노력 1도 안하면 국산남은 쥐좆이 쪼그라든다 이기야	0	1	0	0	0	0	0	0	0	0	0
목사란 새끼가 인간도 아녀	0	0	0	0	0	0	1	0	0	0	0
맞노 니 말 다 받고 웜년들끼리 꾸준히 논의하고 상의해야 할 새 논제라고 생각하노 또 이것이 웜년들 사이에 자연스럽게 녹아들어야 하노 의미없는 플로우는 흘려보내고 니가 말한 네 가지 주제들이 플로우로 자리잡아야 하노 더 생각하고 나도 글 써봐야겠노	0	0	0	0	0	0	0	0	0	1	0
틀무질하는새끼들 평균나이가 저거임 존나 황당한거임	0	0	0	0	1	0	0	0	0	0	0
토크온에서 페미년이랑 배틀뜰랬는데 토크온 접속하고 펑 터짐 이게 토크온 무슨 공격하는거라던데	1	0	0	0	0	0	0	0	0	0	0
후팔 시력재기해뿟노 쇼린이사진 내놔라이기	0	0	0	0	0	0	0	0	1	0	0
김치녀는 능력있는 여자라 좆거지 고추작은 한남 안만난다 이기야	1	1	0	0	0	0	0	0	0	0	0
교회도 세금 받아라 전형적인 집단 광기를 판매하는 기업인데	0	0	0	0	0	0	1	0	0	0	0
여자라서 부럽다	0	0	0	0	0	0	0	0	0	1	0
이제 겨우 결혼하는 노총각인데 만약 꽃뱀이면 진짜 슬프겠다 진짜라면 뭐 망한거고	0	0	0	0	0	0	0	0	0	1	0
디져서 너 좋아 하는 주님 곁으로 쳐가라	0	0	0	0	0	0	1	0	0	0	0
한국도 짱깨처럼 문화대혁명 해야된다통위병 결성해서 좆86새끼들 숙청 축출 제거 척살을 위한 혁명 일으키자	0	0	0	1	0	0	0	0	0	0	0
중동새끼들은 냄새 때문에라도 안됨존나 냄새 암내 시발	0	0	0	1	0	0	0	0	0	0	0
나 뉴질랜드 사는데	0	0	0	0	0	0	0	0	0	1	0
걍 서로 인정하고 선을 그으면 될 문제를 왜 니들끼리 지적하고 니가잘났니 내가 잘났니 싸우고 있노 내가 한남국자면 이거 보고 3번은 사정했다 이기	0	1	0	0	0	0	0	0	0	0	0
3차 세계대전은 이슬람쪽에서 일어난다이슬람쪽에서 핵무기 먼저 사용할거임영화로 몇개나옴 이미터지는건 시간문제	0	0	0	1	0	0	1	0	0	0	0
우리나라도 미개한 파퀴 필리피노 조선족 이슬람 새키들 넘친다	0	0	0	1	0	0	0	0	0	0	0
진짜 맘충 씨발년들 3초마다 존나게 패면서 똥 지릴때까지 패고 싶다	1	0	0	0	0	0	0	0	0	0	0
히잡을 쓴 페미니스트의 모습이다	0	0	0	0	0	0	0	0	0	1	0
국물없노 씨발련아 라면이라도 끓여	0	0	0	0	0	0	0	0	1	0	0
틀딱은 섹스자체를못함	0	0	0	0	1	0	0	0	0	0	0
나한테 이슬람좆들 칼푹찍할 권리를 달라이기 조팔것들	0	1	0	1	0	0	1	0	0	0	0
닛뽄의 어르신들은 선진국에서 태어나 세계2위국가에서 자라신분들헬센의 틀들은 필리핀 이하 후진국에서 태어나 후진국에서 사춘기를 보내고 중진국에서 전성기를 보낸 한마디로 촌놈들	0	0	0	1	0	0	0	0	0	0	0
현기 준중형급 중형급이네 딱봐도 저정도도 컨트롤이 안되는거보니 스팅어랑 지칠공 제외 솔직히 쉐보레 말리부도 저정도는 커버침	0	0	0	0	0	0	0	0	0	1	0
전라도에 대중목욕탕 졸라많다	0	0	0	0	0	1	0	0	0	0	0
백퍼 그럴거다	0	0	0	0	0	0	0	0	0	1	0
난 애밴년 와도 안비켜줌	1	0	0	0	0	0	0	0	0	0	0
가리고 있어서 안보이노	0	0	0	0	0	0	0	0	0	1	0
찬수야 정신차려라	0	0	0	0	0	0	0	0	0	1	0
그래서 이슬람이 싫다 남은 생각하지않고 오직 이슬람만 안다	0	0	0	0	0	0	1	0	0	0	0
보지파티는 착한 퀴어어	0	0	1	0	0	0	0	0	0	0	0
무식한 개소리 하지마라 추락사라는 단어에 그런건 포함 되어있지 않음그냥 떨어져 죽으면 추락사임	0	0	0	0	0	0	0	0	1	0	0
이분최소난박이	0	0	0	0	0	0	0	0	1	0	0
강용석이 말을 저렇게 해서 그렇지사실 어떻게보면 맞는말 아니냐	0	0	0	0	0	0	0	0	0	1	0
다 늙은 상폐좆놈들이 어린 쇼린이한테 질투해서 그러는거 아니겠노	0	1	0	0	1	0	0	0	0	0	0
엑스맥스로 업글하자	0	0	0	0	0	0	0	0	0	1	0
신발 외노자들 다 추방해라	0	0	0	1	0	0	0	0	0	0	0
개슬람새끼들 좀 추방좀	0	0	0	0	0	0	1	0	0	0	0
요즘 6살이면 알거 다 알지	0	0	0	0	0	0	0	0	0	1	0
이거 날조자료라 욕먹기 딱 좋은 건데	0	0	0	0	0	0	0	0	0	1	0
중국에서 조선족년 만난적있는데 술먹으러 갈때마다 한족새끼들 시비 오지게 털던데	0	0	0	1	0	0	0	0	0	0	0
이거 재미있겠다이기 남괘미랍시고 블로그에 글 쓰면서 깝치는 새끼 있는데 신상 털어봐야겠노	0	1	0	0	0	0	0	0	0	0	0
저게 목사냐 사탄이지	0	0	0	0	0	0	1	0	0	0	0
대갈통 크기봐라	0	0	0	0	0	0	0	0	1	0	0
우디르 잘할듯	0	0	0	0	0	0	0	0	0	1	0
엉덩이빵실한 창놈	0	1	0	0	0	0	0	0	0	0	0
탈북자 새끼들 패싸움이 일상임뭐더라 북한여자들 나와서 토크쇼하는거 거기서 지들이 말함주먹다짐은 아무것도 아님 말그대로 무법지대	0	0	0	1	0	0	0	0	0	0	0
돈만 섬기는 사람들	0	0	0	0	0	0	0	0	1	0	0
개만도못한 전라도 시바	0	0	0	0	0	1	0	0	0	0	0
네 대한민국 콜센터 입니다	0	0	0	0	0	0	0	0	0	1	0
설거지는 보지털로 해야 뽀송뽀송하다	1	0	0	0	0	0	0	0	0	0	0
이슬람 다른건 몰라도 피싸개들 때려 잡는건 마음에 든다	1	0	0	0	0	0	0	0	0	0	0
똑같은 성경을 갖고 설교해도 목사가 어떤 가치관을 갖고있냐에 따라 코에 걸면 코걸이 귀에 걸면 귀걸이	0	0	0	0	0	0	1	0	0	0	0
2항이아니라 3항인데	0	0	0	0	0	0	0	0	0	1	0
미국강아지들은 중국기사 돌아다니면서 멍멍거리네	0	0	0	1	0	0	0	0	0	0	0
PC사상 아웃아웃아웃	0	0	0	0	0	0	0	1	0	0	0
흑인편들면서 경찰 공격하는 백인 보지들보면서 총갈겨주고 싶음 흑인한테 강간당해봐야 정신차리지	1	0	0	1	0	0	0	0	0	0	0
다행히 분당은 아니네	0	0	0	0	0	0	0	0	0	1	0
그래 이번이 마지막 기회라 생각하고 그리 찾아 해매이던 하나님 곁으로 가시길 여기서 국민들께 민폐 두 혐오감 주지 말고 잘가라	0	0	0	0	0	0	1	0	0	0	0
저거 구라다 등신들아 선동당하지마라	0	0	0	0	0	0	0	0	1	0	0
그러네 경북인데 창문열어보니 집안보다 따뜻하노	0	0	0	0	0	0	0	0	0	1	0
글쓴놈이 맞는말 했구만 병신 난독증새끼들 존나 많네	0	0	0	0	0	0	0	0	1	0	0
or 있으므로O	0	0	0	0	0	0	0	0	0	1	0
개슬람새끼들 싹다 쓸어버리자	0	0	0	0	0	0	1	0	0	0	0
이슬람과 무슬림으로 인한 문제점만 보지 마시고 왜 그들이 이슬람을 믿고 사는지 한 번 알아보는 것도 좋을듯 합니다 제 생각엔 분명 뭔가가 있습니다 교회나 성당가고 절에 다니는 사람들처럼 그들에게도 이슬람이 뭔가 의미 있기에 믿겠죠	0	0	0	0	0	0	0	0	0	1	0
좆같네 진짜	0	0	0	0	0	0	0	0	1	0	0
근데 진짜 저만해 리얼팩트임 진짜로 풀발이 저정도	0	1	0	0	0	0	0	0	0	0	0
이만갑에 나왔던 목사네	0	0	0	0	0	0	0	0	0	1	0
가학 자해가득한 항문성관계가 정상이라고 전국민 세뇌시키는 정의당 인권팔이장사치들 ᆢ 괄약근이 얼마나 더 늘어나야 정신차릴런가 ᆢ	0	0	1	0	0	0	0	0	0	0	0
닉존나 커여운대 왜그렛냐 안다갑다	0	0	0	0	0	0	0	0	0	1	0
또 유튜브 규제하려고 시동거네	0	0	0	0	0	0	0	0	1	0	0
홍어새끼들 물타기 지리노	0	0	0	0	0	1	0	0	0	0	0
이형들 좀 맞아야겟네	0	0	0	0	0	0	0	0	1	0	0
평등이 아닌 여성 상위를 원하니까 불만이지	1	0	0	0	0	0	0	0	0	0	0
아웃라이어 읽었나	0	0	0	0	0	0	0	0	0	1	0
그래도 쟤들은 지들도 한국인이라고 우기면서 뭘 요구하지는 않지	0	0	0	1	0	0	0	0	0	0	0
개떵꺼 같은시키들	0	0	0	0	0	0	0	0	1	0	0
저딴 새키도 자식이 있다면 부끄러움을 알텐데 그걸 모르면 짐승새키지	0	0	0	0	0	0	0	0	1	0	0
아무런 미래도 소득도 없으면서 애새끼를 10명씩 싸지르고유럽에 난민이라는 명목으로 들어가서 강간해서 유럽 정복할 거다 이러는 새끼들을 보고도 좌파 물고 빠는 유럽 병신들	0	0	0	1	0	0	0	0	0	0	0
봐라 씨발 김치녀보다 더 시급하게 삼일한해야하는게 보빨남이다	1	0	0	0	0	0	0	0	0	0	0
아 입이 근질근질한데	0	0	0	0	0	0	0	0	0	1	0
자랑할려고 얼굴까지 까네	0	0	0	0	0	0	0	0	1	0	0
자지새끼들 침뱉는거 좆나 개걸레창놈같노	0	1	0	0	0	0	0	0	0	0	0
박시장은 어쨌든 죄가 없다고 해라 그게 더불당 입장 이라는거   말안해도 안다	0	0	0	0	0	0	0	0	0	1	0
요 씨발 짱깨새끼 보소1등국민 한족이란다 개씹짱퀴벌레새끼야짱퀴나 좆족이나 다 똑같은 씹버러지지 뭐가 다르냐은근 짱퀴 빠는거 딱 걸렸노	0	0	0	1	0	0	0	0	0	0	0
우리쌍도가 멍청도가 되어버렸노	0	0	0	0	0	1	0	0	0	0	0
아픔 씻어주는 축제 좋아하네 더러운 쓰레기장이다 동성애자들은 저주받은 사단의 도구일뿐이다 세상에 태어나지 않는게 조핬을걸 살가치가없는것들	0	0	1	0	0	0	0	0	0	0	0
쌍도 연쇄살남 기머하노 이기	0	0	0	0	0	1	0	0	0	0	0
동성애는 그냥 섹스중독자임이성과의 섹스에서 좀더 자극적인걱 찾다보니 동성이 되는것임	0	0	1	0	0	0	0	0	0	0	0
그래서 유충유충 하는거 아니겠노	0	1	0	0	0	0	0	0	0	0	0
야 저거 현대차 포터키 아니냐	0	0	0	0	0	0	0	0	0	1	0
자 이제 5천만원 들인 얼굴을 좀 보여줘봐라	0	0	0	0	0	0	0	0	0	1	0
역시 자댕이는 자댕이다 이기야	0	1	0	0	0	0	0	0	0	0	0
캬 적폐청산 드디어 시작하노 이니	0	0	0	0	0	0	0	0	0	1	0
우리 보영이외에는 관심없다	0	0	0	0	0	0	0	0	0	1	0
시발 동영상 재생버튼 처누르고있었다	0	0	0	0	0	0	0	0	1	0	0
봤는데 여자 흑발 존나 예쁨	0	0	0	0	0	0	0	0	0	1	0
급식개슬람보소	0	0	0	0	1	0	1	0	0	0	0
신짜오주화	0	0	0	0	0	0	0	0	1	0	0
급식이라 처벌안받노 페미는정신병이라고 느그들이 말했노 감형시켜줘라이기	1	0	0	0	0	0	0	0	0	0	0
정게 어르신들 화났다 이기야	0	0	0	0	0	0	0	0	0	1	0
참 안타깝다	0	0	0	0	0	0	0	0	0	1	0
근데 애가 임신하고 출산하는 동안 할머니는 뭐하다가 그제서야 신고하노	0	0	0	0	0	0	0	0	1	0	0
여성고객에게만 몰래 쿠폰을 준것보다 관련 문의를 마음대로 삭제하고 계정을 정지시킨 행동에 대해서 더 빡치는건데 사과문에서도 그부분은 슬쩍 넘어가네	0	0	0	0	0	0	0	0	1	0	0
저분 진심 국가요인이자 북한이 제일 벼르고있는인물이지 싶다 진짜 철통경호 해드려야된다	0	0	0	0	0	0	0	0	0	1	0
존나 패버리고싶네	0	0	0	0	0	0	0	0	1	0	0
임신했다는게 더 신기하네	0	0	0	0	0	0	0	0	0	1	0
여자는 늙으면 상품성이 없음몸값최고일때 결혼잘해야됨	1	0	0	0	0	0	0	0	0	0	0
어제 사진도 아닌데 주작질보소	0	0	0	0	0	0	0	0	1	0	0
글쓴이의 고향이 바뀔지도 모릅니다	0	0	0	0	0	0	0	0	0	1	0
어쩌라고 니일기장이냐 일베가 탈북자 새끼 여친 따먹은썰 아니면 올리지마라 병신아	0	0	0	1	0	0	0	0	0	0	0
그렇다고 또 일게이들 좌좀 산업화한답시고 일베링크 고대로 퍼가지마라	0	0	0	0	0	0	0	0	0	1	0
뭐레 자지맛 한번보여주면 빌빌 기는거지	1	0	0	0	0	0	0	0	0	0	0
아주 이기적인 놈 저런게 사기꾼이지 뭐야	0	0	0	0	0	0	0	0	1	0	0
아스팔트 틀딱은 도움이 안돼	0	0	0	0	1	0	0	0	0	0	0
페미는 시리아 락까로 보내야 합니다	1	0	0	0	0	0	0	0	0	0	0
하느님이 당신들이 예배안한다고 뭐라하실 존재가 아니다	0	0	0	0	0	0	0	0	0	1	0
정신병이 정상은 아닌게 맞잖아	0	0	0	0	0	0	0	1	0	0	0
Tongue	0	0	0	0	0	0	0	0	0	1	0
이스라엘이 차라리 중동 다 따먹었음 좋겠다	0	0	0	1	0	0	0	0	0	0	0
좆족 브로커새끼들만 노났겠노	0	0	0	1	0	0	0	0	0	0	0
패악질을 부리는 남성혐오적 페미니스트들한테 선을 그은 정치인은 여당에선 추미애가 유일하네	1	0	0	0	0	0	0	0	0	0	1
항상 통진당이랑 행동을 같이하면서 빨갱이라고 부르지말래 민통당섹기들	0	0	0	0	0	0	0	1	0	0	0
저런단체가 있는게놀랍다	0	0	0	0	0	0	0	0	0	1	0
씨발 동성애고 나발이고 예수쟁이들은 빨리 뒈져서 지들이 믿는 예수 씹새끼 곁으로 빨리 꺼졌으면 좋겠다	0	0	0	0	0	0	1	0	0	0	0
죽을려고 일부러 그러는거같은데 치료하지말고 뒈지게 냅둡시다	0	0	0	0	0	0	0	0	1	0	0
내가볼땐 일제시대때 중국에 대한민국 임시정부청사 세운것처럼아랍새기들 한국에 커맨드센터 하나 세울듯	0	0	0	1	0	0	0	0	0	0	0
추몌가 맞는말 하긴 했는데 어쨌든 설사와 변비가 한판 붙은 그림	0	0	0	0	0	0	0	0	1	0	0
가레기세퀴들 언제부터 브루나이 소식 전했다고 세퀴들 니들 의도가 뭔지 알듯한데	0	0	0	0	0	0	0	1	0	0	0
피싸개 대신 peace again 추천합니다	1	0	0	0	0	0	0	0	0	0	0
신안이면 성골중의 성골아니냐	0	0	0	0	0	1	0	0	0	0	0
상폐 선생년도 고교생 불러서 술마시는 마당에별로 놀랍지도 않다	0	0	0	0	1	0	0	0	0	0	0
경상도깍뚝태아조각비빔밥	0	0	0	0	0	1	0	0	0	0	0
경찰에 바로 신고하면되지 왜 니가 찾고 지랄이여	0	0	0	0	0	0	0	0	1	0	0
그냥 쯧쯧하다 오지 왜 저지랄했누	0	0	0	0	0	0	0	0	1	0	0
말하는거 보니 주차해도 되겠다	0	0	0	0	0	0	0	0	0	1	0
이씨발새끼가 가만 생각하이 존나 씨발열받노 개새끼가 갔이뭐노 무식한 씨발년이	0	0	0	0	0	0	0	0	1	0	0
남자들도원하면여탕에서목욕할수있나요	0	0	1	0	0	0	0	0	0	0	0
남편 출근시키고 할일없어 차마시며 쓸데없는 인생 낭비거리짓하는미친년들이지	1	0	0	0	0	0	0	0	0	0	0
좆노잼 씹틀딱새끼들땜에 좆망한 일베 시발	0	0	0	0	1	0	0	0	0	0	0
평생 한번도 일어나기 어려운데 저새끼들은 늘 달고사는것우연	0	0	0	0	0	0	0	0	1	0	0
내가 저 마티즈 만드는 창원공장 게이인데 이제 아지매들 운전해서 퇴근하면 재끼고 내가 먼저 가야겠당	0	0	0	0	0	0	0	0	0	1	0
마지막으로 트젠도 안고가는 6도덕페미9도 앵나오노 트위터하면서 별꼴을 다봤노	1	0	1	0	0	0	0	0	0	0	0
물랑루즈 개꿀	0	0	0	0	0	0	0	0	0	1	0
진짜씨발 마지막자지 발을 지입에 쳐넣고 울때까지 골프채로 패고싶다 이기야	0	0	0	0	0	0	0	0	1	0	0
무조건 대법원 갈것같은데대법원 가서 부정선거 명백하게 못밝히면 질 듯	0	0	0	0	0	0	0	0	0	1	0
군대캠프로 혜택 69696969보는걸 알기 때문에 여자한테 안시키는거노	0	1	0	0	0	0	0	0	0	0	0
이딴 앵나오는 소설을 학교에서는 가르치노 대체 여기서 뭘 공부하란 말이노	0	0	0	0	0	0	0	0	0	1	0
정당하지 않은 댓가와 제도를 요구한다면 정치적 세력의 노조라면 한치도 물러나지 말고 요구에 응해서는 되지 않는다 노조는 정치관계 없이 정당할 때 그 의미가 있음이다	0	0	0	0	0	0	0	0	0	1	0
불법광고물로 철거 신고해라 이기야	0	0	0	0	0	0	0	0	1	0	0
저러니까 혐오하지	0	0	0	0	0	0	0	0	1	0	0
