sentence	abuse	hate	clean	blame	anger	frustration	praise	order
1번 넘어가 1번 넘어가 1번 넘어가 1번 넘어가 1번 넘어가 1번 넘어가 1번 넘어가 자 7번 6번 패지컬 좋다는거에요	0	0	0	0	0	0	1	0
1번 붙어 1번 붙어 1번 누가 옮냐고 먼저 뛰지마	0	0	0	0	0	0	0	1
1번 오른쪽에 붙으시고 3번이 넘어오시면 될 것 같은데요	0	0	1	0	0	0	0	0
1번 올라가 1번 이쪽으로 아니 이것이 뭔가 이상한데 내려오고 그렇지 그렇지 6번 올라가고 1번 올라가고 1번 올라가고 3번 올라가고 아니 지금 내려가면 안되죠	0	0	0	0	0	0	1	0
1번 위험한데 지금 자리에 위험한거 아닌가	0	0	0	0	0	0	0	1
1번 타자 [유저] 출발해 1번 타자 됐어	0	0	0	0	0	0	0	1
1번 파랑 [유저] 2번 빨강 [유저] 바 3번 주황 [유저] 4번 노랑 [유저] 아	0	0	1	0	0	0	0	0
1번 파랑 [유저] 어	0	0	1	0	0	0	0	0
1번 파랑 [유저] 잠깐만요 옵션이 뭐야	0	0	0	0	1	0	0	0
1번님 오른쪽 3번님 오른쪽 1번 3번님 오른쪽 1번 3번님 오른쪽 봐주세요	0	0	0	0	0	0	0	1
1번도 가셈 안되나	0	0	0	0	0	0	0	1
1번도 올라가야 돼	0	0	0	0	0	0	0	1
1번만 움직이면 되는데 왜 다 움직여 움직이면 돼	0	0	1	0	0	0	0	0
1번만 하면 돼	0	0	1	0	0	0	0	0
1번부터 1번부터 한 명 더 있어야돼	0	0	1	0	0	0	0	0
1번부터 6번님들 왼쪽 확인 오른쪽 갑니다	0	0	1	0	0	0	0	0
1번이 누구예요	0	0	1	0	0	0	0	0
1번이 더 위로 올라와줘야지 1번이 앞으로 더 가야죠	0	0	0	0	0	0	0	1
1번이 올라가고	0	0	0	0	0	0	0	1
1번이 왜 내려가는거야	0	0	0	0	0	0	0	1
1번이 운전하세요	0	0	0	0	0	0	0	1
1번이 저요 자 1번부터 얘기해드릴게요	0	0	0	0	0	0	0	1
1부면 했다	0	0	1	0	0	0	0	0
1분 29초밖에 안 걸렸네	0	0	1	0	0	0	0	0
1세지 하는데 5분 걸렸다	0	0	1	0	0	0	0	0
1인 스코시즘 잘 해내야 된다	0	0	0	0	0	0	0	1
1차 만들어 1차 만들어 오오오 4번 좀 앞으로 가줘야지 됐다	0	0	0	0	0	0	0	1
1초일 때 하라고 그거를 바로 밟지 말라고 지금 말고 지금 지금 누구야	0	0	1	0	0	0	0	0
1층에 내려와봐 내려와봐	0	0	0	0	0	0	0	1
1판 1판 아 쉽네	0	0	1	0	0	0	0	0
1페이지 넘기는 것이 일단	0	0	1	0	0	0	0	0
1호선에서 사방 안길	0	0	1	0	0	0	0	0
1회 마지막이야	0	0	1	0	0	0	0	0
2 2 하면 되는 거 아냐	0	0	1	0	0	0	0	0
2 3번 맞다고	0	0	1	0	0	0	0	0
2 3번 맞혀	0	0	1	0	0	0	0	0
2 3번 아니었어	0	0	1	0	0	0	0	0
2 눌러서 누나 누나 거기 구멍에 뱉어봐요	0	0	0	0	0	0	0	1
2 눌러서 아 이렇게	0	0	0	0	0	0	0	1
2024 최고의 도전	0	0	0	0	0	0	1	0
20분이면 딱 식사할 시간이야 금방 이 안에 깨면 되잖아	0	0	1	0	0	0	0	0
2225 가면 맞는 거 같은데	0	0	0	0	0	0	0	1
27에다가 20를 더하면 47점	0	0	0	0	0	0	0	1
2개 2개 2개	0	0	1	0	0	0	0	0
2개 괜찮아	0	0	1	0	0	0	0	0
2개 또 굴려주시고 자 가자	0	0	0	0	0	0	0	1
2권 안 했잖아요	0	0	1	0	0	0	0	0
2대9이야	0	0	1	0	0	0	0	0
2등 됐어	0	0	1	0	0	0	0	0
2만 5천 9백 원 귀요기 이거 와	0	0	0	0	0	0	0	1
2만 개 넣으면 또 한다고요	0	0	1	0	0	0	0	0
2명 2명 4번 4번 내려와야지 4번 고 고 고 됐어	0	0	0	0	0	0	0	1
2명 3명 2명 왜 그렇게 해	0	0	0	0	0	0	0	1
2명씩 올라가 2명씩 짝 쪄야돼	0	0	0	0	0	0	0	1
2명으로 될 거 같은데 2명이면 각도 될 거 같은데 왼쪽 왼쪽 왼쪽 어 공 간다 2명 오케이 안 해본 사람 해봐	0	0	0	0	0	0	1	0
2번 2번이죠	0	0	1	0	0	0	0	0
2번 가세요	0	0	0	0	0	0	0	1
2번 간다 할 수 있지	0	0	1	0	0	0	0	0
2번 건 좀 많이 어렵긴 해	0	0	0	0	0	0	0	1
2번 난데 2번 누구에요	0	0	1	0	0	0	0	0
2번 내 집밥님 나는 열쇠를 내가 안먹었는데 왜 4번이였어	0	0	0	0	0	0	0	1
2번 누구야	0	0	1	0	0	0	0	0
2번 누구야 [유저] 바 아 [유저] 바 1번 파랑 [유저] 2번 빨간 [유저] 바 잘할수 있겠지	0	0	1	0	0	0	0	0
2번 누군가요	0	0	0	0	0	0	0	1
2번 뭐하냐고	0	0	0	1	0	0	0	0
2번 빨간색인데	0	0	1	0	0	0	0	0
2번 여러가지 갈래가 가있는 곳은 무조건 직진으로 가는거야	0	0	0	0	0	0	0	1
2번 점프 가만있어	0	0	0	0	0	0	0	1
2번 점프 사람마다 다르게 보여 이것이 들어갔어	0	0	0	0	0	0	0	1
2번 점프 해보세요	0	0	0	0	0	0	0	1
2번님 좋으시고 너무 좋고 너무 좋다	0	0	0	0	0	0	1	0
2번부터는 살짝 움직여 2번부터는 조금씩 어 2번부터	0	0	1	0	0	0	0	0
2번은 지나면 됐을 때 갑시다 우리 아 이거 지나고 가자고	0	0	0	0	0	0	0	1
2번을 왼쪽으로 해야 되네	0	0	0	0	0	0	0	1
2번이 빨강님 [유저] 박 답답하구만 [유저] 아빠님이 파랑 1번 [유저] 2번 빨강 [유저] 박 3번 주황 [유저] 아빠 4번 노랑 [유저] 5번 [유저] [유저] 6번 회색 [유저] 7번 [유저] [유저] 8번 갈색 [유저]	0	0	1	0	0	0	0	0
2번이 움직이라고 2번 빨강 [유저] 바 2번 형님 형님 빨강 [유저] 바 2번을 딱 움직여주세요	0	0	1	0	0	0	0	0
2번입니다	0	0	1	0	0	0	0	0
2번판 말 1등 시 10만 추	0	0	1	0	0	0	0	0
2번판 말 1등 시 10만 추요	0	0	1	0	0	0	0	0
2부 뭐예요	0	0	1	0	0	0	0	0
2분 말해요	0	0	0	0	0	0	0	1
2위로는 못 가 2위로는 못 가	0	0	0	0	0	0	0	1
2줄 2줄 미리	0	0	1	0	0	0	0	0
2줄 해야돼	0	0	0	0	0	0	0	1
2칸밖에 안 됐는데	0	0	1	0	0	0	0	0
3 2 1 [유저] 가만있어	0	0	0	0	0	0	0	1
3 2 1 고 1 2 3 4 5 6 7 8 아하하하 너무 빨랐어	0	0	1	0	0	0	0	0
3 2 1 아아아아아아아아 미안하다	0	0	0	0	1	0	0	0
3 2 1 오른쪽으로 한번씩만 따낙 눌러 하나 둘 셋 하면 왼쪽으로 점프 뛰겠습니다	0	0	0	0	0	0	0	1
3 2 1 으악 으악 나도 불안했어	0	0	0	0	1	0	0	0
3 2 1 잠깐 잠깐 잠깐 살 수 있어	0	0	0	0	0	0	0	1
3 2 1 줄이 꼬였어	0	0	1	0	0	0	0	0
3 다시할게요	0	0	1	0	0	0	0	0
3 아 아 그렇죠	0	0	1	0	0	0	0	0
3 오케이 3 오케이 오케이 오케이 이야	0	0	0	0	0	0	1	0
32 41점 35점 18에 9를 더해요	0	0	0	0	0	0	0	1
321 아니 잘못됐어	0	0	0	1	0	0	0	0
321 와 왜케잘해	0	0	0	0	0	0	1	0
34입니다	0	0	1	0	0	0	0	0
35천만원 빨리 출발 안하길래 진짜 웃기다 꼬였어	0	0	0	0	0	0	0	1
38는 누르지 마	0	0	1	0	0	0	0	0
3개 3개	0	0	1	0	0	0	0	0
3개 정도면	0	0	1	0	0	0	0	0
3개남았어	0	0	1	0	0	0	0	0
3까지만 여긴 뭘까	0	0	1	0	0	0	0	0
3단계 에헤스키 어우 야 이거 이야 움직이지 마라 잠깐만 자 여기서 그러면 한 칸씩 움직여야겠죠	0	0	0	0	0	0	0	1
3대 너 혼자 가면 안돼	0	0	0	0	0	1	0	0
3데스 어	0	0	1	0	0	0	0	0
3명 가만있어	0	0	0	0	0	0	0	1
3명 비워봐	0	0	0	0	0	0	0	1
3명이야 이거 3명	0	0	1	0	0	0	0	0
3배 뻥치게 됐네	0	0	1	0	0	0	0	0
3번 3번 이정도면 돼	0	0	1	0	0	0	0	0
3번 3번 재밌네	0	0	1	0	0	0	0	0
3번 4번 왜 안 눌러 4번 4번 [유저] 5번 5번 6번 6번 6명이네	0	0	0	0	0	0	0	1
3번 더 밀고 3번 더 밀고 왼쪽으로 다 넘어오셔야 돼요	0	0	1	0	0	0	0	0
3번 또는 머리에 방어막이 있으니까 왼쪽으로 더 가세요	0	0	0	0	0	0	0	1
3번 미셈	0	0	1	0	0	0	0	0
3번 민다 오케이 오케이 아 이제 이제 이제 아니 저것이 뭔가 잘못된 거 같은데 아니 아니 밀어봐	0	0	0	1	0	0	0	0
3번 밀어야돼	0	0	0	0	0	0	0	1
3번 올라오고 힘	0	0	1	0	0	0	0	0
3번 왜 나와	0	0	0	0	0	0	0	1
3번 잔다 3번 3번 [유저] [유저] [유저] 님 기다려	0	0	0	0	0	0	0	1
3번 전화번호 아는 사람 3번 3번 걸어 3번 3번 통화 알아 [유저] 온다 온다 온다 빠이빠이 좀 다닙시다	0	0	1	0	0	0	0	0
3번까지 3번까지 한꺼번에 있대요	0	0	1	0	0	0	0	0
3번까지 한꺼번에 있대요	0	0	1	0	0	0	0	0
3번님 좀만 더 8번도 밀어주실래요	0	0	0	0	0	0	0	1
3번에 3번에 갑니다	0	0	1	0	0	0	0	0
3번으로 가야 되겠네	0	0	0	0	0	0	0	1
3번은 비키지	0	0	1	0	0	0	0	0
3번은 올라가세요	0	0	0	0	0	0	0	1
3번이 3번이 좀 왼쪽으로 3번님 제가 어떻게 거기를 갈라고 에에에 순서대로 순서대로 3번이 결제하는 결제하고 어떻게 된거야	0	0	0	0	0	1	0	0
3번이 밀어 3번이 밀어 3번 밀어야돼	0	0	0	0	0	0	0	1
3번이 밀어줘 3번이 밀어줘 3번이 밀어줘 3번이 밀어줘봐	0	0	0	0	0	0	0	1
3번이 안 눌렀어	0	0	1	0	0	0	0	0
3번이 올라가면 될거 아니야	0	0	0	0	0	0	0	1
3번이 올라와서 막아줘야지 위로 올라오면 돼 6번 올라와서 올라와서 짝스팀 완료 이동	0	0	0	0	0	0	0	1
3번이 있으니까 오시면 됩니다	0	0	1	0	0	0	0	0
3번째 문제 올라가 천천히 가 천천히 가	0	0	0	0	0	0	0	1
3부 뭐야	0	0	0	0	1	0	0	0
3분 3분	0	0	1	0	0	0	0	0
3스코드밖에 안 남았어요	0	0	1	0	0	0	0	0
3시 돌아 반대 방향 피해주고 쇼크 이나 이 [유저] 스파이씨 수트로 왜 자꾸 앞에 있냐고 저 새꺄가 아니 조새끼 나오라고 미친새끼야 아니 진짜 아 패츄렉 나와	1	0	0	0	0	0	0	0
3시가 또 깍두기 했죠	0	0	0	0	0	0	0	1
3시가 이거 어떻게 깼냐 이거 역삼각형 모양으로 세워서 갑시다 우선 하나로 세우고 위로 올라가 위로 올라가 일단 올라가 일단 올라가 후추도 올라가 올라가 한번 더 올라가 후추 한번만 더 올라가 후추 내려가 가면 돼	0	0	0	0	0	1	0	0
3시간 이거 뭐로 했어	0	0	1	0	0	0	0	0
3일차 [유저] 구워	0	0	1	0	0	0	0	0
3주째 휴방이 없어요	0	0	0	0	0	1	0	0
3차장부터 3차장까지 해서 깔고 가세요	0	0	0	0	0	0	0	1
3초 2초	0	0	1	0	0	0	0	0
3칸 위로 내려가 우리 쫓아가 쟤네 쫓아가 깔끔해 깔끔해	0	0	0	0	0	0	0	1
4 001 촌대 이것이 8명이 합쳐서 4초가 되면 안 돼요	0	0	0	0	0	1	0	0
4 3 2 1 띠용 아	0	0	1	0	0	0	0	0
4 5 6 7 8 9 10 11 12 11 12 13 14 15 16 17 18 18 19 20 24 25 26 27 28 29 32 33 33 2번째 실수 1번째 실수 2번째 실수 스킬 2는 그대독 스킬 2는 그대독 1번째 실수 2번째 실수 미안 미안 어	0	0	0	1	0	0	0	0
4 6 3 3번 성인성인 왼쪽으로 넘어오세요	0	0	0	0	0	0	0	1
40이요 너 번호 형이 다 알고 있고 너 형인 거 하면 명예훼손으로 형이 신고할 수 있어 보수할 수 있어 해도 돼	0	0	0	0	0	0	0	1
48가 미리 만들어주고 아 여기구나 앞에서 67가 앞에 만들어주고 이제 3번 내려가고 이제 괜찮아	0	0	0	0	0	0	0	1
48개 남은거 아니야	0	0	1	0	0	0	0	0
4개 남고 공 2개는 남았어	0	0	1	0	0	0	0	0
4개 남았어	0	0	1	0	0	0	0	0
4개만 먹으면 돼 4개만	0	0	1	0	0	0	0	0
4개면 4개짜리 과일	0	0	1	0	0	0	0	0
4까지 깼어	0	0	1	0	0	0	0	0
4단 점프 아 그러네	0	0	0	0	0	0	0	1
4대4 됐다 뭐야	0	0	0	0	1	0	0	0
4대4 이어	0	0	1	0	0	0	0	0
4대4 있어	0	0	1	0	0	0	0	0
4대4 재밌겠다	0	0	1	0	0	0	0	0
4명 넘어	0	0	1	0	0	0	0	0
4명 넘어가	0	0	0	0	0	0	0	1
4명씩 나눠 4명씩 나눠 오케이 오케이 4명씩 나눠 4명씩 짝수 오른쪽 오케이 짝수 오른쪽	0	0	0	0	0	0	1	0
4명은 쌓아야될 듯 4명은 다섯번째만 출발해야될 듯 잘해보자	0	0	0	0	0	0	1	0
4명이서 체인에 묶여가지고 지옥에서 탈출하는 거야	0	0	0	0	0	0	0	1
4명이예요	0	0	1	0	0	0	0	0
4번 4번 4번 들어갔다	0	0	1	0	0	0	0	0
4번 거기서 모아 이제 가면 돼 4번이 봐주면 돼	0	0	0	0	0	0	0	1
4번 노랑 [유저] 6명 여기 누구야 밀어 밀어 밀어 타임 올라가야지 타임 올라가야지	0	0	0	0	0	0	0	1
4번 먼저 가 4번 위로 가 멈춰 멈춰 멈춰 띠야	0	0	0	0	0	0	0	1
4번 아 진짜 0번이요 아니 4번이 안 비켰어요 4번이 아 이것이 1열로 1열로 1열로 1열로가 1열로 생각이 되네	0	0	0	0	1	0	0	0
4번 앞으로 가보세요	0	0	0	0	0	0	0	1
4번 왜 밀고 있어	0	0	1	0	0	0	0	0
4번 이것도 똑같다 잠깐만 3번을 여기까지 밀고 3번을 밀어 3번을 밀고 그 다음 5번이 밀어 이것이 어떻게 해야돼	0	0	0	0	0	1	0	0
4번 점프 점프 점프 해야 돼	0	0	0	0	0	0	0	1
4번부터 4번부터 4번 먼저 가 4번 먼저 가	0	0	0	0	0	0	0	1
4번이 4번이 올라가야 돼	0	0	0	0	0	0	0	1
4번이 밀려면 7번 3번 내려와 7번 3번 내려오고 4번이 위에 올라타서 4번이 노란색을 좀 앞으로 밀어주고 7번이 8번 위에 타세요	0	0	0	0	0	0	0	1
4번이 조금 밀고 7번이 조금 밀고 4번이 좀 밀어야 돼	0	0	0	0	0	0	0	1
4번이 지금 오른쪽에 있어서 이상해 줄이 자 갑니다	0	0	0	0	0	0	0	1
4번이 한번 밀어야 됨	0	0	0	0	0	0	0	1
4번째 인생은	0	0	1	0	0	0	0	0
4분 4분만	0	0	1	0	0	0	0	0
4점이라도 먹어요 형	0	0	1	0	0	0	0	0
4줄씩 아 오케이 안가져 가까이 움직이면 자 됐어요	0	0	0	0	0	0	1	0
4층 콩콩 후추 가 하나 둘 셋 좋아 할수있어	0	0	0	0	0	0	1	0
4층으로 했다가 무너뜨리면서 만들면 되잖아	0	0	0	0	0	0	0	1
5 5 [유저] 의 점프 맵 외루 오른쪽 오른쪽 뭐 부터 할 적은 내내 이동했고 후추랑 아예 더 가해 자전거 삼식 이나 가능해	0	0	0	0	0	0	0	1
5 다 보다 또 뭐 못했다 뭐 작업을 많이 하려고 원래대로 가야 돼	0	0	0	0	0	0	0	1
50 넘었어	0	0	1	0	0	0	0	0
50점 모이면 그 사람 우승이에요	0	0	1	0	0	0	0	0
59초 남았는데	0	0	1	0	0	0	0	0
59초 버티면 돼	0	0	1	0	0	0	0	0
5개 남았어	0	0	1	0	0	0	0	0
5년 만인가	0	0	0	0	0	0	0	1
5번 5번 5번 아 죄송합니다	0	0	1	0	0	0	0	0
5번 5번 숫자 5번 눌렀어	0	0	1	0	0	0	0	0
5번 6번이 누군데	0	0	1	0	0	0	0	0
5번 7번 사과하기 전까지 알아야 돼	0	0	1	0	0	0	0	0
5번 [유저] 똥색	1	0	0	0	0	0	0	0
5번 나랑 색깔 비슷하니	0	0	1	0	0	0	0	0
5번 누구야	0	0	1	0	0	0	0	0
5번 아니 6번이 있어서 못감	0	0	0	0	0	0	0	1
5번 안갑니다	0	0	1	0	0	0	0	0
5번 올라가 4번 4번 4번 밀었어	0	0	0	0	0	0	0	1
5번 왼쪽으로 5번 왼쪽으로 약간 왼쪽으로 8번 오케이 그렇지 아이 잘했다 가자 가자 가자	0	0	0	0	0	0	1	0
5번 좀 떨어집니다	0	0	1	0	0	0	0	0
5번은 됐어	0	0	1	0	0	0	0	0
5번은 오프라인이라서 로컬만 된데 이거 뭐야	0	0	0	0	1	0	0	0
5번을 건너뛰었네요	0	0	1	0	0	0	0	0
5번을 맞고 내가 봐주고 있어 봐주고 있어 넘어가 넘어가 어	0	0	0	0	0	0	0	1
5번이 근데 못 넘어오잖아	0	0	1	0	0	0	0	0
5번이 밀고 회색하고 저거 올라가야돼	0	0	0	0	0	0	0	1
5번이 밀어야 돼	0	0	0	0	0	0	0	1
5번이 봐주고	0	0	0	0	0	0	0	1
5번이 아 5번이 점프 못함 위에 사람 있으면 점프 못함	0	0	0	0	0	0	0	1
5번이 와야되네	0	0	0	0	0	0	0	1
5분 뭐해	0	0	0	1	0	0	0	0
5분 후 막하다쳐	0	0	1	0	0	0	0	0
5분만 더 제가 알려드릴게요	0	0	0	0	0	0	0	1
5승차 한 번만 더 지랄해봐	1	0	0	0	0	0	0	0
5장이 냈는데	0	0	1	0	0	0	0	0
5점 3점	0	0	1	0	0	0	0	0
5천실링이면 비슷하잖아	0	0	1	0	0	0	0	0
5천원 거니까 5천원 5천원 5천원 거니까 빨리 5천원 5천원 누구	0	0	0	0	0	0	0	1
5학년이요 형한테 잘못했어	0	0	0	1	0	0	0	0
6까지 가려고요	0	0	0	0	0	0	0	1
6명 6번까지 가 6번 [유저] 6번 [유저] 6번 [유저] 7번은 내려와 7번은 내려와 6번 [유저] 4번 올라가야지	0	0	0	0	0	0	0	1
6번 3번님 6번 3번 백 3번 승파 중앙패드 [유저] 오케이 오케이 더 올라가 더 더올라가 더올라가 왼 위에 둘 7번 삐져나갔잖아	0	0	0	0	0	0	1	0
6번 6번 빗겨줘 렛츠고 바로 빗겨줘야 된다	0	0	1	0	0	0	0	0
6번 가세요	0	0	0	0	0	0	0	1
6번 누구야	0	0	1	0	0	0	0	0
6번 더 가세요	0	0	0	0	0	0	0	1
6번 버려	0	0	1	0	0	0	0	0
6번 어이구 빨개졌다	0	0	1	0	0	0	0	0
6번 열쇠 전달 열쇠 전달 빈도	0	0	1	0	0	0	0	0
6번 오른쪽 5번 6번 자리 바꿔 아니 4번 3번까지 3번까지 오케이 앞으로 가야되는거 아니야	0	0	0	0	0	0	1	0
6번 좀 더 아 오케이 버튼 눌러 버튼 눌러 눌러 눌러 안 누르지	0	0	0	0	0	0	1	0
6번 지나가고 천천히 천천히 2번 밀고 2번 밀고 그렇지 그렇지 문 열어 문 열어 뱅뱅뱅뱅뱅뱅뱅	0	0	0	0	0	0	1	0
6번 혼자있어 6번가세요	0	0	0	0	0	0	0	1
6번님 앞으로 가지마시고 8번님부터 보내는것이 어떨까요	0	0	0	0	0	0	0	1
6번은 이거에요	0	0	1	0	0	0	0	0
6번이 가야지	0	0	0	0	0	0	0	1
6번이 있어서 못감	0	0	0	0	0	0	0	1
6번이 쪄서 먹는거에요	0	0	1	0	0	0	0	0
7 001 과학이다	0	0	1	0	0	0	0	0
7 7 이거 피해야 돼	0	0	0	0	0	0	0	1
7 미안 이미 틀렸음	0	0	1	0	0	0	0	0
727가 뱅뱅	0	0	0	0	0	0	0	1
727가 뱅뱅이다	0	0	0	0	0	0	0	1
7가 써있습니다	0	0	0	0	0	0	0	1
7번 6번 움직여줘요	0	0	1	0	0	0	0	0
7번 7번 7번 올라가야돼	0	0	0	0	0	0	0	1
7번 8번 해줄게	0	0	0	0	0	0	0	1
7번 [유저] 형 2번 띄고 2번 띄고 1번 2번 띄고 나는 있어도 돼	0	0	1	0	0	0	0	0
7번 안정적으로 좋아 7번 안정적으로 좋아 [유저] 는 게임 잘해 오케이 [유저] 는 게임 잘해 [유저] 는 조금 아쉽지 데리고 오고 아래로 미리 [유저] 아래로 2번이 봐주시고 2번이 봐주시고 안보고 이제 안보고 안보고 어 잠깐만 이거 알아서 본다	0	0	0	0	0	0	1	0
7번 오케이 조금 더 좀만 더 좀만 더 좀만 더 8번 안달복달 하지마 8번 가만있어 가만있어	0	0	0	0	0	0	1	0
7번 올라가	0	0	0	0	0	0	0	1
7번 점프 어떻게 먹었어	0	0	0	0	0	1	0	0
7번 좋아요	0	0	0	0	0	0	1	0
7번 좋았다 먼저 생각했어 미안 미안 미안 근데 안가본 데기 때문에 안가본 데기 때문에 8번 좋았어	0	0	0	0	0	0	1	0
7번 혼자	0	0	1	0	0	0	0	0
7번은 가만히 있어 7번은 가만히 있어	0	0	0	0	0	0	0	1
7번은 보고 있을것이 7번은 보고 있어 7번은 보고 있어	0	0	1	0	0	0	0	0
7번이 8번 위에 타서 7번이 미세요 아냐 그렇게 한층 더 밀어야 돼	0	0	0	0	0	0	0	1
7번이 8번 위에 타세요	0	0	1	0	0	0	0	0
7번이 [유저] 8번 똥홍냥이형 1번이라며 6번 웅냥이 6번 [유저] 형 6번이 [유저] 아 됐다 정리됐다	1	0	0	0	0	0	0	0
7번이 [유저] 이야	0	0	1	0	0	0	0	0
7번이 올라갈 수 있게 7번이 올라가야 돼	0	0	0	0	0	0	0	1
7부터 다음번에 하겠습니다	0	0	1	0	0	0	0	0
7이라는 숫자가 있는데	0	0	0	0	0	0	0	1
7줄 못 할 것 같은데	0	0	1	0	0	0	0	0
7초 남았다	0	0	1	0	0	0	0	0
7초 남았어요	0	0	1	0	0	0	0	0
7초 비켜	0	0	0	0	0	0	0	1
7초 얘들아 할 수 있어 먹어 먹어 내려와 자	0	0	0	0	0	0	0	1
87번만 가야되는거 아니야	0	0	0	0	0	0	0	1
8명 8명 아까랑 비슷한 거 같은데 아까처럼 아까처럼 이거 한 번에 가는 거 같은데 탈출 탈출 최고점에서 최고점에서 끝까지 올라갔을 때 끝까지 올라갔을 때 여유있어 여유있어 가자 가자 가자 이번에도 최고점에서 자 오케이 올라갔을 때 끝까지 올라갔을 때 끝까지 올라갔을 때 됐다 너무 쉽고 너무 쉽고 뭐야	0	0	0	0	1	0	0	0
8번 5번 이렇게 앞에 2명만 있고 넘어가세요	0	0	0	0	0	0	0	1
8번 7번 깔아주고 7번 7번 7번 다운 7번 다운 아 1번이 왜 내려가는거야	0	0	0	0	0	0	0	1
8번 8번 넘어가야 돼	0	0	0	0	0	0	0	1
8번 [유저] 를 했는데 몇번 몇판을 했는데 뭐길라 그래	0	0	0	0	0	0	1	0
8번 넘어가세요	0	0	0	0	0	0	0	1
8번 다 이쪽 이쪽으로 와 내 오른쪽으로 제일 가까이 있는 자	0	0	0	0	0	0	0	1
8번 동시에 움직여야죠	0	0	1	0	0	0	0	0
8번 밀어	0	0	0	0	0	0	0	1
8번 오고 8번이 마지막으로 이제 8번 와야지	0	0	0	0	0	0	0	1
8번 올라가야지	0	0	0	0	0	0	0	1
8번 와야지	0	0	0	0	0	0	0	1
8번 정찰병	0	0	1	0	0	0	0	0
8번 풀이야	0	0	1	0	0	0	0	0
8번님 합니다	0	0	1	0	0	0	0	0
8번은 만들자 만들자 계단 만들어 계단 사육해 한 명 사육해 잠깐만 제가 왕 됩니다	0	0	0	0	0	0	0	1
8번이 넘어가야 되는 거 아니야	0	0	0	0	0	0	0	1
