문장	사전라벨	abuse_prob	검수	여성/가족	남성	성소수자	인종/국적	연령	지역	종교	기타 혐오	악플/욕설	clean
위에서부터 밀자 한 명부터 밀자	clean	0.151		0	0	0	0	0	0	0	0	0	1
자 이러고 우리 다 가만히 있을거에요	clean	0.151		0	0	0	0	0	0	0	0	0	1
진짜로	clean	0.151		0	0	0	0	0	0	0	0	0	1
야아아아악	clean	0.15		0	0	0	0	0	0	0	0	0	1
자 이거를 한 명만 밟으면 되는 거잖아	clean	0.148		0	0	0	0	0	0	0	0	0	1
문 열어줍시다	clean	0.147		0	0	0	0	0	0	0	0	0	1
오른쪽 오른쪽으로 내려가서 좀 내려가 봅시다 몇 명 남으면 되는지 이거 뭐야	clean	0.146		0	0	0	0	0	0	0	0	0	1
가운데 오시고 자 그럼 핑크색 가세요	clean	0.145		0	0	0	0	0	0	0	0	0	1
뿡 내꺼야 뿡 내꺼야	clean	0.145		0	0	0	0	0	0	0	0	0	1
아니이이이이이이이이 흐하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하 아니 이게 진짜 실수로 진짜리 첫번째 번개 다시 해보자 우리 심박하게 우리가 어몽어스 아니에요	clean	0.145		0	0	0	0	0	0	0	0	0	1
7초 7초 비켜 비켜야해 비켜야해 비켜줘 3초 2초 자 갑니다	clean	0.144		0	0	0	0	0	0	0	0	0	1
또 앞서가지 말고 줄 꼬였잖아	clean	0.144		0	0	0	0	0	0	0	0	0	1
피타고라스 정의를 이용해서 한번 만들어보자구요 올라갈 수 있게 그렇지 밟아주고 그렇지 다음 올라갈 수 있게 밟아줘	clean	0.143		0	0	0	0	0	0	0	0	0	1
자 유쓰 이기쑤 오오오 오케이 잡아 점프해 점프해 점프했어요	clean	0.142		0	0	0	0	0	0	0	0	0	1
한 명씩 밀자	clean	0.139		0	0	0	0	0	0	0	0	0	1
자 여러분들 저번 어머머즈 영상 재밌게 보셨나요	clean	0.138		0	0	0	0	0	0	0	0	0	1
빨리 들어와	clean	0.137		0	0	0	0	0	0	0	0	0	1
문 열어세요	clean	0.136		0	0	0	0	0	0	0	0	0	1
박스 치워주	clean	0.136		0	0	0	0	0	0	0	0	0	1
박스 치워주시고 야 5초 남았다	clean	0.136		0	0	0	0	0	0	0	0	0	1
이거 왜왜왜 일로 가자고	clean	0.136		0	0	0	0	0	0	0	0	0	1
아니 왜 그래	clean	0.135		0	0	0	0	0	0	0	0	0	1
요시 열쇠 열쇠 열쇠 자 여기 내려가면 되지	clean	0.131		0	0	0	0	0	0	0	0	0	1
아이 귀찮게 하시네 정말 자 기다려 기다려 기다려 기다리라고 전원이 다 타야 돼요	clean	0.13		0	0	0	0	0	0	0	0	0	1
내려와야 돼요	clean	0.128		0	0	0	0	0	0	0	0	0	1
고인세	clean	0.127		0	0	0	0	0	0	0	0	0	1
열었어	clean	0.127		0	0	0	0	0	0	0	0	0	1
끝끝끝 나	clean	0.126		0	0	0	0	0	0	0	0	0	1
자 여기 4명만 밀으세요	clean	0.126		0	0	0	0	0	0	0	0	0	1
쉽네	clean	0.123		0	0	0	0	0	0	0	0	0	1
아니 근데 왜 이렇게 한숨을 쉬세요	clean	0.123		0	0	0	0	0	0	0	0	0	1
한 명씩 내려가 한 명씩	clean	0.123		0	0	0	0	0	0	0	0	0	1
하하하하하하하하 이거 뭐야	clean	0.121		0	0	0	0	0	0	0	0	0	1
가자 가자 가자 바로 가자 바로 가자 가만있어	clean	0.119		0	0	0	0	0	0	0	0	0	1
어 가가가 줄여 밟고 올라가세요	clean	0.119		0	0	0	0	0	0	0	0	0	1
용차 용차 아니 꾹 누르고 있어야돼 꾹 이거 누가 지금 깔닥깔닥거리는데 이거 누구야	clean	0.119		0	0	0	0	0	0	0	0	0	1
그렇지 나와 나와 나와 자 비켜주시고 비켜주시고 나와 나와 비켜주세요	clean	0.118		0	0	0	0	0	0	0	0	0	1
돌아가	clean	0.118		0	0	0	0	0	0	0	0	0	1
문 열게요 비켜주세요	clean	0.118		0	0	0	0	0	0	0	0	0	1
네 밟고 한명씨 그 다음 주황색 같이같이 아 아니 뭐야 누구야 주황색 o 실패 실패 오케 움직이지마 움직이지마 간다 요시	clean	0.117		0	0	0	0	0	0	0	0	0	1
올라가고 해서 이제 다 끌고 올라가주면 돼요	clean	0.117		0	0	0	0	0	0	0	0	0	1
박스 박스 치워주	clean	0.116		0	0	0	0	0	0	0	0	0	1
왼쪽 두 명 흰색 주황색부터 할게 주황색 내려가	clean	0.116		0	0	0	0	0	0	0	0	0	1
일단 먹어	clean	0.115		0	0	0	0	0	0	0	0	0	1
먹어줘 여기 먹어	clean	0.113		0	0	0	0	0	0	0	0	0	1
따라가자	clean	0.112		0	0	0	0	0	0	0	0	0	1
자 여러분들 우리 전에 시기 폄하 이런거 외쳤죠	clean	0.112		0	0	0	0	0	0	0	0	0	1
자 오케이 다음 턴 가자	clean	0.111		0	0	0	0	0	0	0	0	0	1
얘들아 뒤로 와 뒤로 뒤로 그치 좋아	clean	0.11		0	0	0	0	0	0	0	0	0	1
바로바로 피꼬 파크 네 오늘 해안저스 여러분들을 데리고 피코파크라는 협동게임을 해보려고 합니다	clean	0.109		0	0	0	0	0	0	0	0	0	1
저한테 아니 저기 이쪽으로 오시라고요	clean	0.109		0	0	0	0	0	0	0	0	0	1
밀어 밀어오라오세요	clean	0.108		0	0	0	0	0	0	0	0	0	1
먹어줘	clean	0.107		0	0	0	0	0	0	0	0	0	1
응 내꺼야	clean	0.107		0	0	0	0	0	0	0	0	0	1
그렇지 움직이지 마	clean	0.106		0	0	0	0	0	0	0	0	0	1
오 야아 자 오케이 알아냈죠	clean	0.106		0	0	0	0	0	0	0	0	0	1
자 오케이 오케이	clean	0.106		0	0	0	0	0	0	0	0	0	1
네 자 누구시죠	clean	0.105		0	0	0	0	0	0	0	0	0	1
절대 먼저 가려고 하지 마	clean	0.105		0	0	0	0	0	0	0	0	0	1
그렇지 밀어 다 앞에 눌러야돼	clean	0.104		0	0	0	0	0	0	0	0	0	1
내가 발판 해줄게	clean	0.104		0	0	0	0	0	0	0	0	0	1
다 타는거 다 타는거 자 우리 새로운게 나올때는 지켜보자고 오케이	clean	0.104		0	0	0	0	0	0	0	0	0	1
맨 뒤로 오시고 빨간색방 가운데로 오세요	clean	0.104		0	0	0	0	0	0	0	0	0	1
밟아	clean	0.104		0	0	0	0	0	0	0	0	0	1
아니 이거 다밟아야되요	clean	0.104		0	0	0	0	0	0	0	0	0	1
야 이쪽으로 같이 와줘 야 이거 한쪽 다 같이 먹어야 돼	clean	0.104		0	0	0	0	0	0	0	0	0	1
자 내려갈 거예요	clean	0.104		0	0	0	0	0	0	0	0	0	1
이것도 똑같이 계단 만들어서 하면 되네	clean	0.103		0	0	0	0	0	0	0	0	0	1
이런걸 시행착오라고 합니다	clean	0.103		0	0	0	0	0	0	0	0	0	1
저희는 이렇게 합동하는 것보다 서로 치고 박고 싸워야죠	clean	0.103		0	0	0	0	0	0	0	0	0	1
주황색	clean	0.103		0	0	0	0	0	0	0	0	0	1
야야 올라가 먹어	clean	0.102		0	0	0	0	0	0	0	0	0	1
여러분 그냥 제 말 들으세요	clean	0.102		0	0	0	0	0	0	0	0	0	1
우리 따라가면 되고 자	clean	0.102		0	0	0	0	0	0	0	0	0	1
자 다시 해 볼게요	clean	0.102		0	0	0	0	0	0	0	0	0	1
자 천천히 또 올라가죠	clean	0.102		0	0	0	0	0	0	0	0	0	1
핑크색 올라가서 만들어주시고 그다음 내려가	clean	0.102		0	0	0	0	0	0	0	0	0	1
김치입니다	clean	0.101		0	0	0	0	0	0	0	0	0	1
이거 올라가는 것도 발판 해줘야돼 올라가서 발판 해줘	clean	0.1		0	0	0	0	0	0	0	0	0	1
발판 움직여줘야지 이제 그렇지 위에 서로 발판 해줘야돼	clean	0.099		0	0	0	0	0	0	0	0	0	1
아직 안 끝났어요	clean	0.099		0	0	0	0	0	0	0	0	0	1
예 들어오세요	clean	0.098		0	0	0	0	0	0	0	0	0	1
자 그러면 한 칸에 두 명씩만 가면 되네요	clean	0.098		0	0	0	0	0	0	0	0	0	1
응 천천히 올라가 한 명씩 그렇지	clean	0.097		0	0	0	0	0	0	0	0	0	1
그랬냐	clean	0.096		0	0	0	0	0	0	0	0	0	1
우리 마이크 다 끄고 하는 게 어때요	clean	0.096		0	0	0	0	0	0	0	0	0	1
자 갑니다	clean	0.096		0	0	0	0	0	0	0	0	0	1
그냥 가도 되는구나	clean	0.095		0	0	0	0	0	0	0	0	0	1
여기도 먹어	clean	0.095		0	0	0	0	0	0	0	0	0	1
이제	clean	0.095		0	0	0	0	0	0	0	0	0	1
한다	clean	0.095		0	0	0	0	0	0	0	0	0	1
그냥 그 저번처럼 자기 시점 녹화를 해서 어 이거 이거 뭐죠	clean	0.094		0	0	0	0	0	0	0	0	0	1
문 열려	clean	0.094		0	0	0	0	0	0	0	0	0	1
아 뭐야 뭐야 아니야 아니야 여기서 이번에도 또 그거 해야 될 것 같애	clean	0.094		0	0	0	0	0	0	0	0	0	1
다 가면 안 돼	clean	0.093		0	0	0	0	0	0	0	0	0	1
먹어	clean	0.093		0	0	0	0	0	0	0	0	0	1
아니 키보드에 손이 안되는데 뒤로 갔다니까요	clean	0.093		0	0	0	0	0	0	0	0	0	1
아니 한마디만 해도 돼요	clean	0.093		0	0	0	0	0	0	0	0	0	1
들어가봐	clean	0.092		0	0	0	0	0	0	0	0	0	1
봐봐	clean	0.092		0	0	0	0	0	0	0	0	0	1
비켜봐	clean	0.092		0	0	0	0	0	0	0	0	0	1
아니야	clean	0.092		0	0	0	0	0	0	0	0	0	1
점프 그렇지 밟아줘	clean	0.092		0	0	0	0	0	0	0	0	0	1
알았다	clean	0.091		0	0	0	0	0	0	0	0	0	1
오케이 자 누구시죠	clean	0.091		0	0	0	0	0	0	0	0	0	1
그렇지 두명이서 먹어줘	clean	0.09		0	0	0	0	0	0	0	0	0	1
야 크 크 크 이거 오늘 점심 두 그릇 먹은 사람 누구야	clean	0.09		0	0	0	0	0	0	0	0	0	1
야하하하하하 아아아아악 윤누님	clean	0.09		0	0	0	0	0	0	0	0	0	1
오케이 둘이 밀지 두 명 딱 맞지	clean	0.09		0	0	0	0	0	0	0	0	0	1
이건 주인공병이 아니라 제가 한번 해볼게요	clean	0.09		0	0	0	0	0	0	0	0	0	1
하하하하하하 아니 유현이 왜 뒤로 가세요	clean	0.09		0	0	0	0	0	0	0	0	0	1
혹시 좌네만 사용하지 마시고 우네 좀 써주실래요	clean	0.09		0	0	0	0	0	0	0	0	0	1
네 밀어주세요	clean	0.089		0	0	0	0	0	0	0	0	0	1
안 열렸잖아	clean	0.089		0	0	0	0	0	0	0	0	0	1
진짜 아닙니다	clean	0.089		0	0	0	0	0	0	0	0	0	1
가봐	clean	0.088		0	0	0	0	0	0	0	0	0	1
밀어	clean	0.088		0	0	0	0	0	0	0	0	0	1
네 자 이렇게 모였습니다	clean	0.087		0	0	0	0	0	0	0	0	0	1
들어와	clean	0.087		0	0	0	0	0	0	0	0	0	1
버텨줘요	clean	0.087		0	0	0	0	0	0	0	0	0	1
이거 고개 왜 이거 고개 사야 올라가시고 얘들아 아 오케이 이렇게 하는 거였어	clean	0.087		0	0	0	0	0	0	0	0	0	1
느낌이 3학년 1반 어 뭐야 이거 뭐야	clean	0.086		0	0	0	0	0	0	0	0	0	1
다시 하자	clean	0.086		0	0	0	0	0	0	0	0	0	1
열어	clean	0.086		0	0	0	0	0	0	0	0	0	1
위에 키	clean	0.086		0	0	0	0	0	0	0	0	0	1
이거 뭐야	clean	0.086		0	0	0	0	0	0	0	0	0	1
제가 문 열어드리죠	clean	0.086		0	0	0	0	0	0	0	0	0	1
다 먹어야 되나봐 빨리빨리	clean	0.085		0	0	0	0	0	0	0	0	0	1
아니 망설이지 말고 출발 구	clean	0.084		0	0	0	0	0	0	0	0	0	1
야 됐	clean	0.084		0	0	0	0	0	0	0	0	0	1
어 아까처럼 하면 되겠다	clean	0.084		0	0	0	0	0	0	0	0	0	1
어 이건 뭐야	clean	0.084		0	0	0	0	0	0	0	0	0	1
열쇠 주세요	clean	0.084		0	0	0	0	0	0	0	0	0	1
하여튼이에요	clean	0.084		0	0	0	0	0	0	0	0	0	1
네 누구시죠	clean	0.083		0	0	0	0	0	0	0	0	0	1
아니 아니 누구야 이거 나이스 뭐야	clean	0.083		0	0	0	0	0	0	0	0	0	1
아니 잠깐만	clean	0.082		0	0	0	0	0	0	0	0	0	1
다시 돌아가야 돼	clean	0.081		0	0	0	0	0	0	0	0	0	1
말 들어주세요	clean	0.081		0	0	0	0	0	0	0	0	0	1
먼저 가기보다는 우리 서로의 발판이 되어주자 우리 서로의 발판이 되어주자	clean	0.081		0	0	0	0	0	0	0	0	0	1
아니 뒤로 갔다니까요	clean	0.081		0	0	0	0	0	0	0	0	0	1
야아 잠깐만 다 먹었어	clean	0.081		0	0	0	0	0	0	0	0	0	1
그렇지 그렇지 살려줘	clean	0.08		0	0	0	0	0	0	0	0	0	1
다 지금 뒤로 와	clean	0.08		0	0	0	0	0	0	0	0	0	1
뭐야	clean	0.08		0	0	0	0	0	0	0	0	0	1
비켜	clean	0.08		0	0	0	0	0	0	0	0	0	1
아 이번엔 내가 캐리했다	clean	0.08		0	0	0	0	0	0	0	0	0	1
올라오세요	clean	0.08		0	0	0	0	0	0	0	0	0	1
이거 밀어	clean	0.08		0	0	0	0	0	0	0	0	0	1
그렇지 그렇지 그렇지 3학년 3반 뭐야	clean	0.079		0	0	0	0	0	0	0	0	0	1
그렇지 여기도 여기도 먹어	clean	0.079		0	0	0	0	0	0	0	0	0	1
그렇지 올라가줘	clean	0.079		0	0	0	0	0	0	0	0	0	1
들어가세요	clean	0.079		0	0	0	0	0	0	0	0	0	1
오케이 내가 답답했구만	clean	0.079		0	0	0	0	0	0	0	0	0	1
이거 왼쪽 하아 여기 있었네	clean	0.079		0	0	0	0	0	0	0	0	0	1
자 이건 알죠	clean	0.079		0	0	0	0	0	0	0	0	0	1
준비하시고 쓰리 투 어	clean	0.079		0	0	0	0	0	0	0	0	0	1
하나씩 가자고	clean	0.079		0	0	0	0	0	0	0	0	0	1
그렇지 여기도 먹어	clean	0.078		0	0	0	0	0	0	0	0	0	1
다 먹어야 되나봐	clean	0.078		0	0	0	0	0	0	0	0	0	1
안녕하세요	clean	0.078		0	0	0	0	0	0	0	0	0	1
얘들아 그렇지 서로의	clean	0.078		0	0	0	0	0	0	0	0	0	1
그렇지 7초 남았다	clean	0.076		0	0	0	0	0	0	0	0	0	1
이야아아아아아 이거다 이거다 좋았다	clean	0.076		0	0	0	0	0	0	0	0	0	1
다 타야 돼	clean	0.075		0	0	0	0	0	0	0	0	0	1
들어와 가자	clean	0.075		0	0	0	0	0	0	0	0	0	1
야아	clean	0.075		0	0	0	0	0	0	0	0	0	1
오른쪽으로 가면 버튼만 누르면 되는데 그걸로 가지를 못해서 Wallace apostle 고민해 안 맞아	clean	0.075		0	0	0	0	0	0	0	0	0	1
왼쪽 위 왼쪽 아래 오른쪽 위 오른쪽 아 바로 시작이네	clean	0.075		0	0	0	0	0	0	0	0	0	1
알겠죠	clean	0.074		0	0	0	0	0	0	0	0	0	1
어휴씨 맨 위 맨 위 맨 위 내꺼임 맨 위 내꺼임	clean	0.074		0	0	0	0	0	0	0	0	0	1
예 비켜주셔야죠	clean	0.074		0	0	0	0	0	0	0	0	0	1
오케이 알겠습니다	clean	0.074		0	0	0	0	0	0	0	0	0	1
오케이 오케이	clean	0.074		0	0	0	0	0	0	0	0	0	1
올라가	clean	0.074		0	0	0	0	0	0	0	0	0	1
이거 아 이거 다 먹는 거네	clean	0.074		0	0	0	0	0	0	0	0	0	1
호이야	clean	0.074		0	0	0	0	0	0	0	0	0	1
가자 가자 간다	clean	0.073		0	0	0	0	0	0	0	0	0	1
그래 엘리베이터 올라가요	clean	0.073		0	0	0	0	0	0	0	0	0	1
다 뒤로 오세요	clean	0.073		0	0	0	0	0	0	0	0	0	1
들어가보세요 였쓰	clean	0.073		0	0	0	0	0	0	0	0	0	1
그거를 손 뗐거든요	clean	0.072		0	0	0	0	0	0	0	0	0	1
아 이거 계속 올라가는 거구나	clean	0.072		0	0	0	0	0	0	0	0	0	1
야 이거 2단계야	clean	0.072		0	0	0	0	0	0	0	0	0	1
움직여	clean	0.072		0	0	0	0	0	0	0	0	0	1
자 오늘은 우리 사랑스러운 주문을 해봅시다	clean	0.072		0	0	0	0	0	0	0	0	0	1
점프 하세요	clean	0.072		0	0	0	0	0	0	0	0	0	1
하하하하하하 아니 뒤로 가졌다니까요	clean	0.072		0	0	0	0	0	0	0	0	0	1
아 여러분들 2단계부터 굉장히 힘들었습니다	clean	0.071		0	0	0	0	0	0	0	0	0	1
아 올라갔더니 뭐라고요	clean	0.071		0	0	0	0	0	0	0	0	0	1
아 이거 계단 만드는거야	clean	0.071		0	0	0	0	0	0	0	0	0	1
아아아아아	clean	0.071		0	0	0	0	0	0	0	0	0	1
오케이	clean	0.071		0	0	0	0	0	0	0	0	0	1
오케이 알겠죠	clean	0.071		0	0	0	0	0	0	0	0	0	1
이거	clean	0.071		0	0	0	0	0	0	0	0	0	1
이거 1초	clean	0.071		0	0	0	0	0	0	0	0	0	1
이거 오른쪽에 넘어가신 4분이 왼쪽으로 밀어주세요	clean	0.071		0	0	0	0	0	0	0	0	0	1
직진	clean	0.071		0	0	0	0	0	0	0	0	0	1
힘 받는다	clean	0.071		0	0	0	0	0	0	0	0	0	1
계단 쌓아줘야 돼 계단 먹고 나이스 다 먹었다	clean	0.07		0	0	0	0	0	0	0	0	0	1
다시 해야겠다	clean	0.07		0	0	0	0	0	0	0	0	0	1
아 이거 내가 올라가줘야 되는 거구나	clean	0.07		0	0	0	0	0	0	0	0	0	1
아니	clean	0.07		0	0	0	0	0	0	0	0	0	1
우리 쎈미니 한번 맞춰줍시다	clean	0.07		0	0	0	0	0	0	0	0	0	1
이거 다시 해야 돼	clean	0.07		0	0	0	0	0	0	0	0	0	1
찾아야 돼	clean	0.07		0	0	0	0	0	0	0	0	0	1
가자	clean	0.069		0	0	0	0	0	0	0	0	0	1
그러면 저	clean	0.069		0	0	0	0	0	0	0	0	0	1
아 이거 왼쪽에 밀어야 되네	clean	0.069		0	0	0	0	0	0	0	0	0	1
아 이런식으로	clean	0.069		0	0	0	0	0	0	0	0	0	1
이거 어떻게 올라가지	clean	0.069		0	0	0	0	0	0	0	0	0	1
전기 안 통하게 조심	clean	0.069		0	0	0	0	0	0	0	0	0	1
그거	clean	0.068		0	0	0	0	0	0	0	0	0	1
비켜줘야죠	clean	0.068		0	0	0	0	0	0	0	0	0	1
아니 이러면 어떡	clean	0.068		0	0	0	0	0	0	0	0	0	1
오른쪽으로 내려가면 되지	clean	0.068		0	0	0	0	0	0	0	0	0	1
요오쓰 피크닷	clean	0.068		0	0	0	0	0	0	0	0	0	1
이거 안 맞아	clean	0.068		0	0	0	0	0	0	0	0	0	1
4분 4분만	clean	0.067		0	0	0	0	0	0	0	0	0	1
그래서 배틀로 가도록 하겠습니다	clean	0.067		0	0	0	0	0	0	0	0	0	1
그렇지	clean	0.067		0	0	0	0	0	0	0	0	0	1
아니아니 들어	clean	0.067		0	0	0	0	0	0	0	0	0	1
아닌가	clean	0.067		0	0	0	0	0	0	0	0	0	1
이지해 이지하니까 2편 할게요	clean	0.067		0	0	0	0	0	0	0	0	0	1
한 번 더 네	clean	0.067		0	0	0	0	0	0	0	0	0	1
1등 한 사람 제가 치킨 사도록 하겠습니다	clean	0.066		0	0	0	0	0	0	0	0	0	1
가면 돼요	clean	0.066		0	0	0	0	0	0	0	0	0	1
내가	clean	0.066		0	0	0	0	0	0	0	0	0	1
내가 밀게	clean	0.066		0	0	0	0	0	0	0	0	0	1
먹어주고 윤여 님 윤여 님 데려와야 해 으응	clean	0.066		0	0	0	0	0	0	0	0	0	1
야 이러면 어떡	clean	0.066		0	0	0	0	0	0	0	0	0	1
여러분들 어떠셨어요	clean	0.066		0	0	0	0	0	0	0	0	0	1
잼민아	clean	0.066		0	0	0	0	0	0	0	0	0	1
지우였어요	clean	0.066		0	0	0	0	0	0	0	0	0	1
나 먹었다	clean	0.065		0	0	0	0	0	0	0	0	0	1
너무	clean	0.065		0	0	0	0	0	0	0	0	0	1
다시 하기에는 시간이 너무 많은데	clean	0.065		0	0	0	0	0	0	0	0	0	1
다음 이제 3단계 갈 거예요	clean	0.065		0	0	0	0	0	0	0	0	0	1
블럭	clean	0.065		0	0	0	0	0	0	0	0	0	1
