문장	여성/가족	남성	성소수자	인종/국적	연령	지역	종교	기타 혐오	악플/욕설	clean
어 이거는 못 밀어 서로 못 밀어가지고 아니 한 줄로 가야돼	0	0	0	0	0	0	0	0	0	1
아 진짜 지금 아 진짜 아 진짜 나봐 제발 제발 아니 나와봐	0	0	0	0	0	0	0	0	0	1
블럭 그거 잘 맞 이건 주인공병이 아니라 제가 한번 해볼게요	0	0	0	0	0	0	0	0	0	1
야 잠깐 이것이 한 명을 여기 떨궈가지고 컨트롤을 해야 되네	0	0	0	0	0	0	0	0	0	1
아니 왜 혼자 막 출발해 누구야 미친 사람아 아 다 괜찮아요	0	0	0	0	0	0	0	0	1	0
아니 D를 또 눌렀다고 저 새끼가 그럼 한 번 더 눌렀어야지	0	0	0	0	0	0	0	0	1	0
아니 야야 야 중간에 앞에 누워 중간에 [유저] 가 안 밀어	0	0	0	0	0	0	0	0	0	1
아니 거기서 움직일수가 없어 1 2 3번 딱 한꺼번에 있대요	0	0	0	0	0	0	0	0	0	1
어이구 그거를 또 밟으면서 그거를 못 피해가지고 그거를 어	0	0	0	0	0	0	0	0	0	1
아니지 둘러싸여야될거같은데 둘러싸여야될거같은데 막아야되나봐	0	0	0	0	0	0	0	0	0	1
많이 먹으니까 뭘 먹었는지 기억도 못 할 수도 있어 어디가	0	0	0	0	0	0	0	0	0	1
어 위에 위에 야 어 어 어 저거 지렁이를 못 피하는 거야	0	0	0	0	0	0	0	0	0	1
근데 나 이거 못할 것 같은데 거리가 열색 열색 좀 가 봐	0	0	0	0	0	0	0	0	0	1
이거 이래갖고 진행을 어떻게 시작점에서 얼마 오지도 못했어	0	0	0	0	0	0	0	0	0	1
어쩌면 나는 그 마음에 동감할지도 빌릴것이 나 이제 끝났어	0	0	0	0	0	0	0	0	0	1
아 못 지나가 너 어차피 우리 지금 둘이 다 길막하고 있어	0	0	0	0	0	0	0	0	0	1
아니 짐꾼 지금 밑에 있는데 로프가 175m 밖에 안되는데	0	0	0	0	0	0	0	0	0	1
오욱 기우자 차이가 아니 [유저] 랑 계속 걸려 불안합니다	0	0	0	0	0	0	0	0	0	1
얘들아 자기 플레이란 걸 생각해 협동 아니고 자기 플레이야	0	0	0	0	0	0	0	0	0	1
점프를 아니 이거 애매한것이 점프하면 머리 박고 떨어질까봐	0	0	0	0	0	0	0	0	0	1
오늘 이렇게 [유저] 진행 해봤는데 근데 아직 안 끝났어요	0	0	0	0	0	0	0	0	0	1
됐다 오옹 걍 버려 공 와 진짜 공 사라져서 바로 사라졌어	0	0	0	0	0	0	0	0	0	1
못 내려오게 못 내려오게 못 내려오게 터져라 이긴거 아니야	0	0	0	0	0	0	0	0	0	1
아니 뒤로 가야지 저거는 씨발 내 얘기는 왜 대답 안 해줘	0	0	0	0	0	0	0	0	1	0
아니 피지컬로 해 피지컬 아니 저 새끼는 점프 왜 하는거야	0	0	0	0	0	0	0	0	1	0
으어어어어 반대 반대 반대 아니 못에 안 내려고하는 거인데	0	0	0	0	0	0	0	0	0	1
제가 잘 때는 움직이고 저 찡그렸을 때 멈추는 거 아니여	0	0	0	0	0	0	0	0	0	1
아니 이거 방패 저거 빨간 거 나올 때는 뒤에 있어 그냥	0	0	0	0	0	0	0	0	0	1
아니 아니야콩이가 밟고 있다가 또 올라간 다음에 오나 봐	0	0	0	0	0	0	0	0	0	1
아니 이거 나 진짜 애매해서 그래 나 진짜 애매해서 그래	0	0	0	0	0	0	0	0	0	1
이거 그럼 밟고 지나가는 것이 맞는 거 같은데 이렇게 와	0	0	0	0	0	0	0	0	0	1
아 빡대가니 새끼 진짜 와 [유저] 가 입술이 고장났나봐	0	0	0	0	0	0	0	0	1	0
야 야 야 생각을 해보자 우리 콩이 어떻게 나가야 되는데	0	0	0	0	0	0	0	0	0	1
쟤를 진짜 들어와 임마 빨리 나 파지 잔뜩 나서 빨개졌어	0	0	0	0	0	0	0	0	0	1
그냥 열쇠를 먹는것이 아니라 열기를 돌려야 되는거 아니야	0	0	0	0	0	0	0	0	0	1
형이 너 한다 형이 컨트롤 보여줄게 야야 이런거 필요없어	0	0	0	0	0	0	0	0	0	1
5번이 아 5번이 점프 못함 위에 사람 있으면 점프 못함	0	0	0	0	0	0	0	0	0	1
우리가 못가 한명이 그래서 아 아래로 데리고 왔어야 됐네	0	0	0	0	0	0	0	0	0	1
드디어 박수 병신 오다가 죽는 거 아니겠지	0	0	0	0	0	0	0	0	1	0
아 꺼져 미친놈아 야 왜 내장 뺏어 저 미친놈봐 누나	0	0	0	0	0	0	0	0	1	0
제발 회색님아 네가 가만히 멈춰있은 다음에 가면 되잖아요	0	0	0	0	0	0	0	0	0	1
저 억지로 화나는 척 억텐으로 짜증나는 척 안 하겠습니다	0	0	0	0	0	0	0	0	0	1
아니 근데 쓸모있는 사람이 있으면 없는 사람도 있어야 돼	0	0	0	0	0	0	0	0	0	1
아우 답답해 잠깐만 이렇게 가면 된다니까 아온이 당나귀야	0	0	0	0	0	0	0	0	1	0
아니 그리고 3번 오고 마지막에 보는 사람이 있어야 돼	0	0	0	0	0	0	0	0	0	1
아니 그냥 팩트만 팩트만 얘기하는 것이 없을 것 같더만	0	0	0	0	0	0	0	0	0	1
야 아니면 야 이건 어떻고 이건 어떻고 뭐야 이거 뭐야	0	0	0	0	0	0	0	0	0	1
아니 뒤로 갔다고하니까요 드디어 아니 뒤로 가졌다니까요	0	0	0	0	0	0	0	0	0	1
아니 근데 끝났으면 기폭 장치가 멈춰야 되는 거 아니야	0	0	0	0	0	0	0	0	0	1
형님 출발 화가왜 나 정찰하고와 정찰병 6명 있어야 돼	0	0	0	0	0	0	0	0	0	1
색깔 설정은 제가 했는데 구별이 안갈거라 상상을 못했네	0	0	0	0	0	0	0	0	0	1
앞에 영혼이 나가는거 같은데 사람 오오오오오오 넘어갔어	0	0	0	0	0	0	0	0	0	1
[유저] 야 못 올라오는데 [유저] 야 올라가고 있는데	0	0	0	0	0	0	0	0	0	1
아니 얘가 이리로 오게 만들어서 가둬야 되는 거 아닐까	0	0	0	0	0	0	0	0	0	1
그것이 아니라 이거 올라가는 것도 체력이 있어야 되는데	0	0	0	0	0	0	0	0	0	1
야아아아아악 아니 왜 뒤로가 아니 노란색님 준비되셨어요	0	0	0	0	0	0	0	0	0	1
아니 이거 [유저] 님 마이크 끄고 자 마이크 꺼주세요	0	0	0	0	0	0	0	0	0	1
내가 또 키가 크니까 가볼게 아 이거 그거 점퍼 아니야	0	0	0	0	0	0	0	0	0	1
위에 쏘고 있으니까 아 뭐 싸나 쏘지말라고 미치새끼야	0	0	0	0	0	0	0	0	1	0
으아아아아아악 바보 저거 아 밖에 나가면 되는거인가봐	0	0	0	0	0	0	0	0	1	0
아니 회색 자리로 들어가 빨간색이 그다음에 아니 회색	0	0	0	0	0	0	0	0	0	1
워 이거 박빙인데 제발 노랑 설마 제발 노랑 오 와아	0	0	0	0	0	0	0	0	0	1
일렬로 있고 위에서부터 들어가야 될 것 같은데 아니야	0	0	0	0	0	0	0	0	0	1
이제 4번이 봐주고 나가지말고 봐주고 4번이 봐줘야지	0	0	0	0	0	0	0	0	0	1
여기 틈이 있어 아니 올라가 올라가 그냥 올라가면 돼	0	0	0	0	0	0	0	0	0	1
음 저는 선장이 이번 여행을 성공하지 못하고 왔습니다	0	0	0	0	0	0	0	0	1	0
야 봐봐 쌓아야지 탑을 아니 근데 어디까지 쌓을 거야	0	0	0	0	0	0	0	0	0	1
근데 내가 만약에 너 정답이지 하고 했는데 거짓말이야	0	0	0	0	0	0	0	0	0	1
이거는 나도 못 들어가고 치킨도 못 들어가게 해야 돼	0	0	0	0	0	0	0	0	0	1
짜증 깔짝을 좀 더 빨리 말해 주시면 좋을 것 같아요	0	0	0	0	0	0	0	0	1	0
옆에만 뜰면 되겠다 뒤에 사람 뒤에 사람을 못 구한다	0	0	0	0	0	0	0	0	0	1
답 필요 없고 온라인 플레이로 바로 가도록 하겠습니다	0	0	0	0	0	0	0	0	0	1
아니 사람들이 헷갈릴 수 있어서 형제를 위한 마음이지	0	0	0	0	0	0	0	0	0	1
