sentence	악플/욕설	기타_혐오	clean	남탓	감정표출	좌절	칭찬	게임오더	source
돈고춘은 뒤져도 돼	1	0	0	0	0	0	0	0	unsmile
범죄자들 도피처가 목사 전도사 되는길 신원조회하면 전과자비율이 제일 높은 직업군이 개신교일거다	0	1	0	0	0	0	0	0	unsmile
[유저] 한 여자 아원입니다	0	0	1	0	0	0	0	0	stt
자 자 자 자 자 어	0	0	1	0	0	0	0	0	stt
아니 네가 잡고 있잖아	0	1	0	0	0	0	0	0	stt
이리로 가야지 왜아니야	1	0	0	0	0	0	0	0	stt
벌써 했지 병신아 말 놓은거보면	0	0	1	0	0	0	0	0	unsmile
인하대 아태다닌다 인증하고 부심부리기 가능	0	0	1	0	0	0	0	0	unsmile
지금 사이트 들가보니까 텔레그램 증거같은거는 있는데	0	0	0	0	0	0	0	1	unsmile
남자 똥꼬가 구조상 집어넣었을때 가장 쪼이는 기관이겠구만 골반이 후장쪽으로 모아져있고게이들이 한번 똥구멍에 맛들리면 보지 안찾는 이유	0	1	0	0	0	0	0	0	unsmile
난 진즉 없어진줄 알았는데 끈질기기도하노	0	1	0	0	0	0	0	0	unsmile
083	0	0	0	0	0	0	0	1	stt
방금 개잘했어	0	0	1	0	0	0	0	0	stt
야 잠만	0	0	0	0	0	0	0	1	stt
4명씩 나눠 4명씩 나눠 오케이 오케이 4명씩 나눠 4명씩 짝수 오른쪽 오케이 짝수 오른쪽	0	0	0	0	0	0	0	1	stt
남성성은 강요되는 억압이 아니라 미덕이다	0	0	0	0	0	0	0	1	unsmile
교회기업체	0	1	0	0	0	0	0	0	unsmile
아래	0	1	0	0	0	0	0	0	stt
그렇지 좋아 잠깐잠깐잠깐 resembling pim abort 한번 더 점프 그렇지	0	0	0	1	0	0	0	0	stt
저 왜 실패해요	0	1	0	0	0	0	0	0	stt
가려도 한남콘이노 구웨에에에에에엑 정화짤 필요하다 익이	0	1	0	0	0	0	0	0	unsmile
하나 하나 하나 호호 호 하나 둘 셋 자 위에 [유저] 님이 아니 내가 할게	0	1	0	0	0	0	0	0	stt
방금 깜짝 놀랐어	0	1	0	0	0	0	0	0	stt
책에서 색깔 바꿀 수 있나	0	0	0	0	0	1	0	0	stt
명불홍전	0	0	1	0	0	0	0	0	unsmile
저희는 이제 저희끼리 대결을 할 거입니다	0	0	1	0	0	0	0	0	stt
그리고 이쪽으로 가면은 지금부터 올라가 있어	0	0	1	0	0	0	0	0	stt
이지 이지	0	0	1	0	0	0	0	0	stt
같이 달려	0	0	1	0	0	0	0	0	stt
무게가 있어	0	0	1	0	0	0	0	0	stt
내릴게	0	0	1	0	0	0	0	0	stt
봤는데 오우 씨발 안녕	0	0	0	0	1	0	0	0	stt
아 근데 이거 너무 도박인데 이거	0	0	0	0	0	1	0	0	stt
냄저 죽이고싶을정도로 싫어하는 년들한테 욕이랍시고 한다는 소리가 냄저가 너를 안사랑해줄거야1111병신좆들	0	0	0	0	0	1	0	0	unsmile
미안해 미안해	0	0	0	0	0	1	0	0	stt
괜히 우걸문인줄 아냐 저런걸로는 택도 없음 맘충년들이 정신차리는 일은 죽을 때까지 없다	0	0	0	0	0	1	0	0	unsmile
